,L
0,0.578773471370671
1,0.5908613834585831
2,0.5940848266820263
3,0.5771617497589495
4,0.6037551563523561
5,0.5537917863889862
6,0.5763558889530888
7,0.5618503944475942
8,0.5578210904182902
9,0.5924731050703048
10,0.5691031417003415
11,0.5763558889530888
12,0.5803851929823928
13,0.5771617497589495
14,0.5505683431655429
15,0.5400921526893524
16,0.5545976471948469
17,0.5860262186234183
18,0.5602386728358725
19,0.5634621160593157
20,0.5417038743010739
21,0.558626951224151
22,0.562656255253455
23,0.5723265849237847
24,0.5779676105648103
25,0.5537917863889862
26,0.5868320794292791
27,0.5819969145941143
28,0.5924731050703048
29,0.5836086362058358
30,0.558626951224151
31,0.570714863312063
32,0.5989199915171913
33,0.5900555226527223
34,0.6037551563523561
35,0.574744167341367
36,0.6061727387699384
37,0.6940115666087664
38,0.712546365143565
39,0.798773471370671
40,0.7818503944475942
41,0.7101287827259825
42,0.7915207241179237
43,0.6996525922497919
44,0.8003851929823927
45,0.6738650464622461
46,0.8197258523230521
47,0.7109346435318432
48,0.6279309805281802
49,0.6561361087333085
50,0.6843412369384366
51,0.65774783034503
52,0.6448540574512572
53,0.6706416032388028
54,0.7214108340080337
55,0.7109346435318432
56,0.6561361087333085
57,0.8019969145941143
58,0.728663581260781
59,0.6150372076344074
60,0.7891031417003415
61,0.7802386728358724
62,0.8165024090996088
63,0.8132789658761655
64,0.6585536911508908
65,0.803608636205836
66,0.6553302479274475
67,0.80763794023514
68,0.6811177937149934
69,0.8285903211875209
70,0.7020701746673744
71,0.8471251197223194
72,0.6641947167919166
73,0.8261727387699386
74,0.6585536911508908
75,0.6899822625794624
76,0.7697624823596821
77,0.7141580867552865
78,0.7552569878541876
79,0.6932057058029054
80,0.7979676105648102
81,0.6601654127626125
82,0.8052203578175575
83,0.7173815299787297
84,0.6553302479274475
85,0.7214108340080337
86,0.661777134374334
87,0.7399456325428323
88,0.661777134374334
89,0.7560628486600484
90,0.6295427021399019
91,0.7141580867552865
92,0.6118137644109641
93,0.6827295153267151
94,0.633572006169206
95,0.7786269512241509
96,0.7544511270483268
97,0.7141580867552865
98,0.6883705409677406
99,0.798773471370671
100,0.6859529585501584
101,0.8269785995757993
102,0.7963558889530887
103,0.5312276838248836
104,0.5497624823596822
105,0.5650738376710375
106,0.5940848266820263
107,0.5948906874878871
108,0.5699090025062022
109,0.562656255253455
110,0.5691031417003415
111,0.5691031417003415
112,0.5739383065355063
113,0.5618503944475942
114,0.5844144970116968
115,0.5554035080007077
116,0.5723265849237847
117,0.5650738376710375
118,0.5771617497589495
119,0.5465390391362389
120,0.5739383065355063
121,0.5304218230190226
122,0.5554035080007077
123,0.5618503944475942
124,0.5537917863889862
125,0.5481507607479604
126,0.558626951224151
127,0.5441214567186564
128,0.58763794023514
129,0.574744167341367
130,0.562656255253455
131,0.5618503944475942
132,0.5771617497589495
133,0.5836086362058358
134,0.5739383065355063
135,0.5795793321765318
136,0.5723265849237847
137,0.5884438010410008
138,0.5868320794292791
139,0.5771617497589495
140,0.5916672442644441
141,0.5916672442644441
142,0.5811910537882535
143,0.5932789658761656
144,0.5771617497589495
145,0.5691031417003415
146,0.5473448999420997
147,0.558626951224151
148,0.5554035080007077
149,0.5610445336417335
150,0.5376745702717699
151,0.5545976471948469
152,0.5578210904182902
153,0.5779676105648103
154,0.5860262186234183
155,0.5715207241179238
156,0.5529859255831252
157,0.5505683431655429
158,0.5473448999420997
159,0.5602386728358725
160,0.5489566215538212
161,0.5634621160593157
162,0.5819969145941143
163,0.5739383065355063
164,0.570714863312063
165,0.570714863312063
166,0.5973082699054696
167,0.6013375739347736
168,0.582802775399975
169,0.5868320794292791
170,0.574744167341367
171,0.6271251197223194
172,0.6891764017736014
173,0.8261727387699386
174,0.6255133981105979
175,0.6585536911508908
176,0.4901287827259825
177,0.6247075373047369
178,0.7721800647772644
179,0.7020701746673744
180,0.8487368413340411
181,0.7963558889530887
182,0.6682240208212206
183,0.8165024090996088
184,0.7915207241179237
185,0.7794328120300117
186,0.6545243871215868
187,0.6118137644109641
188,0.63760131019851
189,0.6746709072681071
190,0.5255866581838579
191,0.6738650464622461
192,0.5618503944475942
193,0.6472716398688395
194,0.6408247534219532
195,0.7189932515904512
196,0.65774783034503
197,0.7334987460959458
198,0.7375280501252498
199,0.6263192589164587
200,0.7697624823596821
201,0.649689222286422
202,0.7979676105648102
203,0.6190665116637114
204,0.6899822625794624
205,0.7230225556197553
206,0.6593595519567518
207,0.5610445336417335
208,0.6859529585501584
209,0.5731324457296455
210,0.6488833614805612
211,0.570714863312063
212,0.7254401380373378
213,0.6561361087333085
214,0.8148906874878873
215,0.7915207241179237
216,0.6811177937149934
217,0.8140848266820263
218,0.5852203578175575
219,0.6682240208212206
220,0.8398723724695721
221,0.7036818962790959
222,0.5320335446307444
223,0.6666122992094988
224,0.5900555226527223
225,0.6641947167919166
226,0.653718526315726
227,0.6915939841911839
228,0.6730591856563853
229,0.8060262186234183
230,0.6811177937149934
231,0.8189199915171913
232,0.6561361087333085
233,0.7262459988431985
234,0.5989199915171913
235,0.5078577204549201
236,0.5602386728358725
237,0.6367954493926492
238,0.5473448999420997
239,0.6940115666087664
240,0.6174547900519897
241,0.5562093688065685
242,0.5320335446307444
243,0.5489566215538212
244,0.5892496618468616
245,0.574744167341367
246,0.5916672442644441
247,0.5908613834585831
248,0.5763558889530888
249,0.5948906874878871
250,0.5739383065355063
251,0.5650738376710375
252,0.5755500281472278
253,0.5634621160593157
254,0.578773471370671
255,0.5610445336417335
256,0.562656255253455
257,0.5449273175245172
258,0.5521800647772644
259,0.5650738376710375
260,0.5537917863889862
261,0.5255866581838579
262,0.5167221893193891
263,0.5473448999420997
264,0.5304218230190226
265,0.5207514933486931
266,0.5392862918834916
267,0.5537917863889862
268,0.5513742039714037
269,0.5554035080007077
270,0.5715207241179238
271,0.5417038743010739
272,0.5594328120300117
273,0.5618503944475942
274,0.5610445336417335
275,0.5795793321765318
276,0.574744167341367
277,0.6077844603816601
278,0.6142313468285466
279,0.6110079036051034
280,0.5965024090996088
281,0.5981141307113303
282,0.5554035080007077
283,0.5570152296124292
284,0.5650738376710375
285,0.5836086362058358
286,0.5699090025062022
287,0.5562093688065685
288,0.5699090025062022
289,0.5803851929823928
290,0.5682972808944805
291,0.5884438010410008
292,0.5932789658761656
293,0.5948906874878871
294,0.58763794023514
295,0.5989199915171913
296,0.6053668779640776
297,0.6085903211875209
298,0.5860262186234183
299,0.5795793321765318
300,0.5900555226527223
301,0.5852203578175575
302,0.5908613834585831
303,0.578773471370671
304,0.5691031417003415
305,0.5892496618468616
306,0.7101287827259825
307,0.8640481966453964
308,0.7963558889530887
309,0.5400921526893524
310,0.7230225556197553
311,0.7351104677076675
312,0.7101287827259825
313,0.8084438010410008
314,0.6214840940812939
315,0.7576745702717699
316,0.6996525922497919
317,0.5932789658761656
318,0.7359163285135283
319,0.7036818962790959
320,0.7133522259494257
321,0.632766145363345
322,0.7858796984768982
323,0.7173815299787297
324,0.6255133981105979
325,0.7617038743010741
326,0.5715207241179238
327,0.6480775006747005
328,0.633572006169206
329,0.5956965482937481
330,0.653718526315726
331,0.6706416032388028
332,0.5207514933486931
333,0.6625829951801948
334,0.496575669172869
335,0.7230225556197553
336,0.7375280501252498
337,0.6384071710043707
338,0.7093229219201217
339,0.5062459988431985
340,0.6690298816270813
341,0.6650005775977773
342,0.6746709072681071
343,0.6037551563523561
344,0.6746709072681071
345,0.6819236545208541
346,0.8519602845574842
347,0.653718526315726
348,0.7254401380373378
349,0.5207514933486931
350,0.6601654127626125
351,0.5312276838248836
352,0.6198723724695722
353,0.7334987460959458
354,0.6899822625794624
355,0.8463192589164586
356,0.7109346435318432
357,0.8422899548871546
358,0.6891764017736014
359,0.716575669172869
360,0.6883705409677406
361,0.641630614227814
362,0.6778943504915501
363,0.6367954493926492
364,0.799579332176532
365,0.6319602845574842
366,0.7093229219201217
367,0.6762826288798286
368,0.712546365143565
369,0.5779676105648103
370,0.7214108340080337
371,0.5263925189897186
372,0.6770884896856894
373,0.6045610171582169
374,0.578773471370671
375,0.6948174274146272
376,0.6182606508578506
377,0.5892496618468616
378,0.582802775399975
379,0.5594328120300117
380,0.5795793321765318
381,0.5699090025062022
382,0.562656255253455
383,0.5497624823596822
384,0.5723265849237847
385,0.5739383065355063
386,0.578773471370671
387,0.5658796984768982
388,0.5618503944475942
389,0.562656255253455
390,0.5723265849237847
391,0.5771617497589495
392,0.5513742039714037
393,0.5368687094659091
394,0.5296159622131619
395,0.5618503944475942
396,0.558626951224151
397,0.558626951224151
398,0.5658796984768982
399,0.5699090025062022
400,0.5618503944475942
401,0.5562093688065685
402,0.574744167341367
403,0.574744167341367
404,0.58763794023514
405,0.5932789658761656
406,0.5811910537882535
407,0.5965024090996088
408,0.5836086362058358
409,0.5803851929823928
410,0.5956965482937481
411,0.5795793321765318
412,0.5819969145941143
413,0.5723265849237847
414,0.5868320794292791
415,0.5900555226527223
416,0.58763794023514
417,0.578773471370671
418,0.578773471370671
419,0.5465390391362389
420,0.5860262186234183
421,0.5715207241179238
422,0.5570152296124292
423,0.5529859255831252
424,0.5811910537882535
425,0.5819969145941143
426,0.562656255253455
427,0.5634621160593157
428,0.5682972808944805
429,0.5699090025062022
430,0.5699090025062022
431,0.5739383065355063
432,0.5570152296124292
433,0.5602386728358725
434,0.5779676105648103
435,0.5731324457296455
436,0.5489566215538212
437,0.5554035080007077
438,0.5449273175245172
439,0.6569419695391693
440,0.7681507607479604
441,0.8471251197223194
442,0.7439749365721363
443,0.63760131019851
444,0.6650005775977773
445,0.6650005775977773
446,0.6964291490263487
447,0.7802386728358724
448,0.6504950830922828
449,0.7189932515904512
450,0.5989199915171913
451,0.5239749365721363
452,0.5723265849237847
453,0.711740504337704
454,0.6650005775977773
455,0.8221434347406346
456,0.7858796984768982
457,0.6158430684402681
458,0.6972350098322097
459,0.6021434347406344
460,0.6085903211875209
461,0.6319602845574842
462,0.6392130318102315
463,0.6674181600153598
464,0.712546365143565
465,0.8519602845574842
466,0.6658064384036381
467,0.7713742039714037
468,0.5449273175245172
469,0.6835353761325759
470,0.5296159622131619
471,0.6819236545208541
472,0.4941580867552865
473,0.6666122992094988
474,0.8882240208212205
475,0.7431690757662756
476,0.8487368413340411
477,0.7576745702717699
478,0.5658796984768982
479,0.716575669172869
480,0.7810445336417334
481,0.7189932515904512
482,0.8785536911508908
483,0.7101287827259825
484,0.8318137644109641
485,0.570714863312063
486,0.6988467314439312
487,0.582802775399975
488,0.6569419695391693
489,0.6206782332754329
490,0.7149639475611472
491,0.715769808367008
492,0.8132789658761655
493,0.7020701746673744
494,0.7230225556197553
495,0.6964291490263487
496,0.6650005775977773
497,0.7520335446307443
498,0.6915939841911839
499,0.7874914200886197
500,0.6964291490263487
501,0.8310079036051033
502,0.7230225556197553
503,0.6110079036051034
504,0.6190665116637114
505,0.6504950830922828
506,0.6311544237516235
507,0.6093961819933816
508,0.8334254860226856
509,0.7463925189897188
510,0.8052203578175575
511,0.7036818962790959
512,0.7101287827259825
513,0.7359163285135283
514,0.6271251197223194
515,0.7834621160593157
516,0.6271251197223194
517,0.7608980134952131
518,0.736722189319389
519,0.5900555226527223
520,0.7254401380373378
521,0.5916672442644441
522,0.7407514933486931
523,0.6674181600153598
524,0.8318137644109641
525,0.6835353761325759
526,0.802802775399975
527,0.5441214567186564
528,0.6762826288798286
529,0.6690298816270813
530,0.7584804310776309
531,0.7560628486600484
532,0.7923265849237847
533,0.6819236545208541
534,0.8044144970116968
535,0.5763558889530888
536,0.720604973202173
537,0.5795793321765318
538,0.6972350098322097
539,0.5948906874878871
540,0.5247807973779971
541,0.6521068047040045
542,0.5779676105648103
543,0.5554035080007077
544,0.5352569878541876
545,0.5433155959127957
546,0.5408980134952132
547,0.5529859255831252
548,0.5594328120300117
549,0.5868320794292791
550,0.5715207241179238
551,0.5811910537882535
552,0.5900555226527223
553,0.5811910537882535
554,0.5755500281472278
555,0.58763794023514
556,0.5948906874878871
557,0.5973082699054696
558,0.5795793321765318
559,0.6061727387699384
560,0.5779676105648103
561,0.58763794023514
562,0.578773471370671
563,0.5803851929823928
564,0.6077844603816601
565,0.5965024090996088
566,0.6093961819933816
567,0.5948906874878871
568,0.578773471370671
569,0.5360628486600484
570,0.5425097351069349
571,0.5642679768651765
572,0.6996525922497919
573,0.7270518596490593
574,0.7085170611142607
575,0.8334254860226856
576,0.7028760354732352
577,0.7891031417003415
578,0.6964291490263487
579,0.8519602845574842
580,0.6827295153267151
581,0.7979676105648102
582,0.5755500281472278
583,0.7109346435318432
584,0.58763794023514
585,0.7447807973779971
586,0.719799112396312
587,0.7407514933486931
588,0.7842679768651767
589,0.7254401380373378
590,0.5408980134952132
591,0.6891764017736014
592,0.5658796984768982
593,0.7173815299787297
594,0.6158430684402681
595,0.7028760354732352
596,0.6166489292461289
597,0.7882972808944807
598,0.7359163285135283
599,0.7359163285135283
600,0.7423632149604146
601,0.6513009438981435
602,0.5489566215538212
603,0.7036818962790959
604,0.6174547900519897
605,0.7874914200886197
606,0.6923998449970447
607,0.8245610171582168
608,0.6311544237516235
609,0.6875646801618799
610,0.562656255253455
611,0.7044877570849567
612,0.5328394054366051
613,0.6738650464622461
614,0.5449273175245172
615,0.7060994786966784
616,0.8189199915171913
617,0.6811177937149934
618,0.8430958156930154
619,0.7423632149604146
620,0.6359895885867882
621,0.5280042406014404
622,0.6658064384036381
623,0.5368687094659091
624,0.6851470977442974
625,0.6367954493926492
626,0.712546365143565
627,0.7222166948138945
628,0.6085903211875209
629,0.7625097351069349
630,0.5763558889530888
631,0.645659918257118
632,0.5940848266820263
633,0.5892496618468616
634,0.6021434347406344
635,0.6448540574512572
636,0.49335222594942574
637,0.6343778669750667
638,0.5578210904182902
639,0.6230958156930154
640,0.5811910537882535
641,0.5771617497589495
642,0.5860262186234183
643,0.5884438010410008
644,0.5924731050703048
645,0.5932789658761656
646,0.5634621160593157
647,0.5811910537882535
648,0.5682972808944805
649,0.558626951224151
650,0.5521800647772644
651,0.5795793321765318
652,0.582802775399975
653,0.5562093688065685
654,0.5505683431655429
655,0.5441214567186564
656,0.5497624823596822
657,0.5062459988431985
658,0.5191397717369713
659,0.5360628486600484
660,0.5360628486600484
661,0.5400921526893524
662,0.5223632149604146
663,0.558626951224151
664,0.5368687094659091
665,0.5505683431655429
666,0.574744167341367
667,0.5602386728358725
668,0.5642679768651765
669,0.5771617497589495
670,0.5618503944475942
671,0.5610445336417335
672,0.574744167341367
673,0.6803119329091326
674,0.8358430684402681
675,0.7334987460959458
676,0.6738650464622461
677,0.7302753028725025
678,0.6150372076344074
679,0.5916672442644441
680,0.6174547900519897
681,0.47320570580290544
682,0.6061727387699384
683,0.7762093688065684
684,0.6795060721032719
685,0.8398723724695721
686,0.6940115666087664
687,0.8181141307113303
688,0.6303485629457627
689,0.649689222286422
690,0.6682240208212206
691,0.6142313468285466
692,0.7496159622131618
693,0.5948906874878871
694,0.7471983797955796
695,0.9043412369384366
696,0.7504218230190228
697,0.8245610171582168
698,0.5819969145941143
699,0.6658064384036381
700,0.716575669172869
701,0.5892496618468616
702,0.7334987460959458
703,0.558626951224151
704,0.6956232882204879
705,0.5288101014073011
706,0.6803119329091326
707,0.5618503944475942
708,0.7399456325428323
709,0.8640481966453964
710,0.7214108340080337
711,0.811667244264444
