,R
0,0.5732987537437219
1,0.5741046145495826
2,0.5741046145495826
3,0.5724928929378611
4,0.5741046145495826
5,0.5724928929378611
6,0.5700753105202786
7,0.5732987537437219
8,0.5668518672968353
9,0.5757163361613044
10,0.5684635889085571
11,0.5716870321320003
12,0.5708811713261394
13,0.5684635889085571
14,0.5708811713261394
15,0.5692694497144178
16,0.5692694497144178
17,0.5700753105202786
18,0.5708811713261394
19,0.5660460064909746
20,0.5676577281026961
21,0.5692694497144178
22,0.5684635889085571
23,0.5708811713261394
24,0.5708811713261394
25,0.5676577281026961
26,0.5732987537437219
27,0.5708811713261394
28,0.5732987537437219
29,0.5741046145495826
30,0.5652401456851138
31,0.5749104753554434
32,0.5700753105202786
33,0.5757163361613044
34,0.5708811713261394
35,0.5724928929378611
36,0.5902218306667987
37,0.6667786072235754
38,0.7610643215092897
39,0.7328591933041614
40,0.77154051198548
41,0.7199654204103886
42,0.7191595596045276
43,0.7062657867107548
44,0.7159361163810846
45,0.693372013816982
46,0.6901485705935387
47,0.6651668856118537
48,0.6554965559415241
49,0.614397654842623
50,0.6168152372602053
51,0.6748372152821834
52,0.6546906951356631
53,0.6579141383591064
54,0.7111009515459196
55,0.7304416108865789
56,0.7320533324983006
57,0.705459925904894
58,0.7385002189451871
59,0.7481705486155167
60,0.7425295229744912
61,0.7497822702272384
62,0.7820167024616705
63,0.7618701823151505
64,0.7062657867107548
65,0.6667786072235754
66,0.6998189002638683
67,0.6820899625349307
68,0.7119068123517805
69,0.7239947244396926
70,0.7231888636338318
71,0.7417236621686302
72,0.7264123068572749
73,0.7102950907400588
74,0.7368884973334654
75,0.6619434423884104
76,0.6965954570404252
77,0.6861192665642347
78,0.6901485705935387
79,0.688536848981817
80,0.697401317846286
81,0.680478240923209
82,0.6700020504470184
83,0.6941778746228427
84,0.6820899625349307
85,0.6530789735239416
86,0.680478240923209
87,0.6530789735239416
88,0.6812841017290697
89,0.6571082775532456
90,0.6812841017290697
91,0.6546906951356631
92,0.6828958233407915
93,0.6442145046594728
94,0.6909544313993995
95,0.6756430760880442
96,0.7086833691283373
97,0.7143243947693628
98,0.7086833691283373
99,0.7304416108865789
100,0.7256064460514141
101,0.7336650541100221
102,0.7320533324983006
103,0.5837749442199124
104,0.5789397793847474
105,0.5684635889085571
106,0.5749104753554434
107,0.5724928929378611
108,0.5708811713261394
109,0.5732987537437219
110,0.5684635889085571
111,0.5749104753554434
112,0.5684635889085571
113,0.5741046145495826
114,0.5749104753554434
115,0.5684635889085571
116,0.5781339185788866
117,0.5716870321320003
118,0.5797456401906084
119,0.5724928929378611
120,0.5757163361613044
121,0.5708811713261394
122,0.5741046145495826
123,0.5716870321320003
124,0.5708811713261394
125,0.5765221969671651
126,0.5700753105202786
127,0.5789397793847474
128,0.5708811713261394
129,0.5749104753554434
130,0.5668518672968353
131,0.5716870321320003
132,0.5692694497144178
133,0.5724928929378611
134,0.5668518672968353
135,0.5708811713261394
136,0.5684635889085571
137,0.5732987537437219
138,0.5660460064909746
139,0.5732987537437219
140,0.5700753105202786
141,0.5692694497144178
142,0.5708811713261394
143,0.5724928929378611
144,0.5692694497144178
145,0.5716870321320003
146,0.5692694497144178
147,0.5708811713261394
148,0.5708811713261394
149,0.5676577281026961
150,0.5708811713261394
151,0.5700753105202786
152,0.5732987537437219
153,0.5692694497144178
154,0.5757163361613044
155,0.5700753105202786
156,0.5749104753554434
157,0.5652401456851138
158,0.5724928929378611
159,0.5676577281026961
160,0.5741046145495826
161,0.5692694497144178
162,0.5749104753554434
163,0.5700753105202786
164,0.5724928929378611
165,0.5732987537437219
166,0.5724928929378611
167,0.5781339185788866
168,0.5708811713261394
169,0.5749104753554434
170,0.5708811713261394
171,0.6546906951356631
172,0.688536848981817
173,0.7812108416558098
174,0.7223830028279709
175,0.6353500357950038
176,0.6248738453188135
177,0.6353500357950038
178,0.6595258599708281
179,0.7167419771869453
180,0.7312474716924399
181,0.7288298892748574
182,0.7546174350624032
183,0.7457529661979344
184,0.7376943581393262
185,0.6732254936704617
186,0.6563024167473849
187,0.6079507683957365
188,0.614397654842623
189,0.6168152372602053
190,0.6409910614360296
191,0.6192328196777878
192,0.6563024167473849
193,0.6272914277363958
194,0.6377676182125863
195,0.6409910614360296
196,0.6877309881759562
197,0.6587199991649674
198,0.7006247610697293
199,0.7078775083224763
200,0.6861192665642347
201,0.7239947244396926
202,0.692566153011121
203,0.693372013816982
204,0.6377676182125863
205,0.6667786072235754
206,0.6474379478829161
207,0.6031156035605717
208,0.6111742116191797
209,0.6538848343298024
210,0.6232621237070918
211,0.6256797061246743
212,0.6482438086887768
213,0.685313405758374
214,0.6861192665642347
215,0.7336650541100221
216,0.7272181676631359
217,0.7086833691283373
218,0.6788665193114874
219,0.6289031493481175
220,0.6708079112528794
221,0.6619434423884104
222,0.6579141383591064
223,0.622456262901231
224,0.6272914277363958
225,0.6434086438536119
226,0.6474379478829161
227,0.6603317207766889
228,0.7070716475166156
229,0.7239947244396926
230,0.7280240284689966
231,0.7360826365276046
232,0.684507544952513
233,0.6297090101539783
234,0.6434086438536119
235,0.6039214643664325
236,0.6095624900074582
237,0.5644342848792531
238,0.5652401456851138
239,0.5845808050257731
240,0.610368350813319
241,0.5741046145495826
242,0.5668518672968353
243,0.5700753105202786
244,0.5732987537437219
245,0.5684635889085571
246,0.5741046145495826
247,0.5684635889085571
248,0.5749104753554434
249,0.5700753105202786
250,0.5732987537437219
251,0.5700753105202786
252,0.5708811713261394
253,0.5732987537437219
254,0.5708811713261394
255,0.5732987537437219
256,0.5724928929378611
257,0.5708811713261394
258,0.5692694497144178
259,0.5732987537437219
260,0.5700753105202786
261,0.5676577281026961
262,0.5668518672968353
263,0.5741046145495826
264,0.5628225632675313
265,0.5692694497144178
266,0.5636284240733921
267,0.5724928929378611
268,0.5668518672968353
269,0.5716870321320003
270,0.5700753105202786
271,0.5652401456851138
272,0.5708811713261394
273,0.5668518672968353
274,0.5716870321320003
275,0.5684635889085571
276,0.5749104753554434
277,0.5781339185788866
278,0.5765221969671651
279,0.5765221969671651
280,0.5749104753554434
281,0.5708811713261394
282,0.5732987537437219
283,0.5692694497144178
284,0.5708811713261394
285,0.5716870321320003
286,0.5700753105202786
287,0.5684635889085571
288,0.5676577281026961
289,0.5692694497144178
290,0.5684635889085571
291,0.5716870321320003
292,0.5716870321320003
293,0.5724928929378611
294,0.5708811713261394
295,0.5684635889085571
296,0.5757163361613044
297,0.5708811713261394
298,0.5749104753554434
299,0.5660460064909746
300,0.5749104753554434
301,0.5692694497144178
302,0.5765221969671651
303,0.5700753105202786
304,0.5732987537437219
305,0.6563024167473849
306,0.6837016841466522
307,0.8086101090550771
308,0.7457529661979344
309,0.6563024167473849
310,0.6627493031942714
311,0.7215771420221101
312,0.780404980849949
313,0.7393060797510479
314,0.7159361163810846
315,0.6716137720587402
316,0.685313405758374
317,0.6619434423884104
318,0.6272914277363958
319,0.6708079112528794
320,0.676448936893905
321,0.684507544952513
322,0.6651668856118537
323,0.7111009515459196
324,0.7207712812162493
325,0.692566153011121
326,0.680478240923209
327,0.6289031493481175
328,0.6160093764543445
329,0.6087566292015972
330,0.6232621237070918
331,0.6248738453188135
332,0.6587199991649674
333,0.6321265925715606
334,0.6361558966008648
335,0.6651668856118537
336,0.7183536987986668
337,0.7070716475166156
338,0.6377676182125863
339,0.6450203654653336
340,0.6192328196777878
341,0.6675844680294362
342,0.6434086438536119
343,0.6667786072235754
344,0.6619434423884104
345,0.7078775083224763
346,0.7368884973334654
347,0.7046540650990333
348,0.6345441749891431
349,0.6401852006301688
350,0.6111742116191797
351,0.6168152372602053
352,0.6240679845129525
353,0.6514672519122201
354,0.6917602922052603
355,0.7264123068572749
356,0.7183536987986668
357,0.7030423434873115
358,0.6651668856118537
359,0.6708079112528794
360,0.6667786072235754
361,0.6780606585056267
362,0.6538848343298024
363,0.7030423434873115
364,0.6982071786521468
365,0.7167419771869453
366,0.6538848343298024
367,0.6546906951356631
368,0.6563024167473849
369,0.6538848343298024
370,0.6321265925715606
371,0.5878042482492164
372,0.5741046145495826
373,0.606339046784015
374,0.5724928929378611
375,0.5813573618023299
376,0.610368350813319
377,0.5724928929378611
378,0.5749104753554434
379,0.5692694497144178
380,0.5773280577730259
381,0.5692694497144178
382,0.5724928929378611
383,0.5668518672968353
384,0.5749104753554434
385,0.5668518672968353
386,0.5732987537437219
387,0.5684635889085571
388,0.5692694497144178
389,0.5708811713261394
390,0.5741046145495826
391,0.5757163361613044
392,0.5692694497144178
393,0.5700753105202786
394,0.5644342848792531
395,0.5773280577730259
396,0.5676577281026961
397,0.5773280577730259
398,0.5676577281026961
399,0.5724928929378611
400,0.5708811713261394
401,0.5684635889085571
402,0.5708811713261394
403,0.5700753105202786
404,0.5692694497144178
405,0.5716870321320003
406,0.5676577281026961
407,0.5732987537437219
408,0.5684635889085571
409,0.5700753105202786
410,0.5692694497144178
411,0.5700753105202786
412,0.5684635889085571
413,0.5692694497144178
414,0.5716870321320003
415,0.5684635889085571
416,0.5692694497144178
417,0.5724928929378611
418,0.5708811713261394
419,0.5692694497144178
420,0.5732987537437219
421,0.5708811713261394
422,0.5700753105202786
423,0.5708811713261394
424,0.5741046145495826
425,0.5708811713261394
426,0.5692694497144178
427,0.5724928929378611
428,0.5708811713261394
429,0.5732987537437219
430,0.5684635889085571
431,0.5732987537437219
432,0.5692694497144178
433,0.5708811713261394
434,0.5741046145495826
435,0.5644342848792531
436,0.5692694497144178
437,0.5708811713261394
438,0.5700753105202786
439,0.6828958233407915
440,0.7336650541100221
441,0.7941046145495826
442,0.7368884973334654
443,0.6828958233407915
444,0.6434086438536119
445,0.6651668856118537
446,0.7183536987986668
447,0.7312474716924399
448,0.6941778746228427
449,0.6297090101539783
450,0.6426027830477511
451,0.606339046784015
452,0.610368350813319
453,0.6361558966008648
454,0.684507544952513
455,0.6796723801173482
456,0.7360826365276046
457,0.7062657867107548
458,0.6417969222418903
459,0.6563024167473849
460,0.6321265925715606
461,0.6393793398243078
462,0.6450203654653336
463,0.6619434423884104
464,0.7143243947693628
465,0.7360826365276046
466,0.7062657867107548
467,0.6796723801173482
468,0.6417969222418903
469,0.6160093764543445
470,0.6490496694946376
471,0.6256797061246743
472,0.6627493031942714
473,0.6603317207766889
474,0.6949837354287035
475,0.7272181676631359
476,0.6901485705935387
477,0.6748372152821834
478,0.6579141383591064
479,0.6417969222418903
480,0.6982071786521468
481,0.70143062187559
482,0.7368884973334654
483,0.7215771420221101
484,0.7046540650990333
485,0.6538848343298024
486,0.6111742116191797
487,0.6482438086887768
488,0.618426958871927
489,0.6345441749891431
490,0.6587199991649674
491,0.7119068123517805
492,0.7223830028279709
493,0.6756430760880442
494,0.6667786072235754
495,0.6683903288352969
496,0.6732254936704617
497,0.693372013816982
498,0.6957895962345643
499,0.7272181676631359
